DATE,QPTR628BIS
1/1/2008,103.3859
4/1/2008,101.9253
7/1/2008,99.3673
10/1/2008,98.2116
1/1/2009,100.0275
4/1/2009,100.2976
7/1/2009,101.0263
10/1/2009,101.1617
1/1/2010,101.6862
4/1/2010,100.725
7/1/2010,99.6735
10/1/2010,97.9585
1/1/2011,95.945
4/1/2011,92.6038
7/1/2011,91.332
10/1/2011,87.2035
1/1/2012,85.1988
4/1/2012,82.6223
7/1/2012,81.938
10/1/2012,82.0815
1/1/2013,81.1727
4/1/2013,80.0374
7/1/2013,80.8308
10/1/2013,82.6428
1/1/2014,84.541
4/1/2014,85.0492
7/1/2014,85.2614
10/1/2014,84.5574
1/1/2015,85.3079
4/1/2015,86.9233
7/1/2015,87.5167
10/1/2015,88.302
1/1/2016,90.7366
4/1/2016,91.9878
7/1/2016,93.5646
10/1/2016,94.27
1/1/2017,96.5625
4/1/2017,97.9715
7/1/2017,102.1503
10/1/2017,102.6476
1/1/2018,107.5538
4/1/2018,107.9185
7/1/2018,109.2675
10/1/2018,111.2915
1/1/2019,116.5755
4/1/2019,117.5135
7/1/2019,121.2252
10/1/2019,122.5313
1/1/2020,128.4041
4/1/2020,129.3041
7/1/2020,129.6169
10/1/2020,132.5093
1/1/2021,136.3332
4/1/2021,138.3465
7/1/2021,142.4167
10/1/2021,144.4167
1/1/2022,147.6513
4/1/2022,144.9951
7/1/2022,147.7046
10/1/2022,146.3205
